1.line[1/cm],2.line[1/cm],3.line[1/cm],4.line[1/cm],5.line[1/cm]
0.2362543149,0.3113747619,0.3908676093,0.470713686,0.5500020367
0.2362524261,0.3105940726,0.3900751606,0.4680196324,0.5503468571
0.2362789134,0.3112525563,0.3905520329,0.4703379267,0.5522389666
0.2350315783,0.3105147864,0.39055203290000000,0.4696743616,0.5513567203
0.2369393238,0.3130509305,0.3927177098,0.4661947594,0.5500150033
0.2362686569,0.314109339,0.3916854015,0.4699708816,0.5521554539
0.2349852397,0.3148183829,0.3927753504,0.4721210891,0.5492347604
0.2350736182,0.3119183011,0.3899742494,0.4724386713,0.5515829954
0.2355269845,0.3138026154,0.3930983872,0.4684188351,0.5525565305
0.2353603267,0.3138868964,0.3913689671,0.4705906465,0.5547065834
0.2345929652,0.3119804564,0.3896291003,0.4709012976,0.5502461314
0.2374125793,0.3134094049,0.3901715239,0.4718578877,0.5497434876
0.2366986991,0.3100058028,0.3881840298,0.4710733462,0.548619831
0.2384334958,0.3126719066,0.3889063957,0.4685110022,0.5509296643
0.2376105638,0.3122128719,0.3893108037,0.4693979549,0.5587357281
0.2382638177,0.3129659199,0.3915103138,0.4717406586,0.5495172892
0.2379125916,0.3120174027,0.3924491075,0.4731817529,0.5484225986
0.2345484251,0.3121691088,0.3920813188,0.4724395765,0.5495151508
0.2386394778,0.3132537122,0.3918299166,0.471375904,0.5487415095
0.2364469674,0.309675863,0.3918687044,0.471412367,0.5512547695
